ano,aluno_anon,codigo_unidade,nome_unidade,opcao_primeiro_registro,data_primeiro_registro
2025,aluno_0000026,734802,EDI SENHORA PERCILIANA PEREIRA DE ALVARENGA,3,2024-12-12 17:07:10.020
2025,aluno_0000027,10084,CP CRECHE COMUNITÁRIA AQUARELA DO SABER (GUARATIBA),1,2024-12-13 13:47:19.903
2025,aluno_0000027,1026805,EDI MEDALHISTA OLÍMPICO IZAQUIAS QUEIROZ DOS SANTOS,2,2024-12-13 13:47:19.903
2025,aluno_0000027,9028,CP CRECHE COMUNITÁRIA ALÉM DO ARCO-ÍRIS,2,2024-12-13 13:47:20.007
2025,aluno_0000027,9044,CP CRECHE COMUNITÁRIA JARDIM FELIZ,1,2024-12-13 13:47:20.007
2025,aluno_0000028,3025,CP CENTRO CULTURAL EDUCAR - UNIDADE II,1,2024-12-16 16:01:34.480
2025,aluno_0000029,1019628,CM IRINÉA DOS SANTOS PAIVA,1,2024-12-11 10:18:38.790
2025,aluno_0000030,622804,EDI MEDALHISTA PARALÍMPICO DANIEL MARTINS,1,2024-12-18 09:26:51.783
2025,aluno_0000031,5006,CP CRECHE CARDEAL CÂMARA,1,2024-12-12 17:53:53.073
2025,aluno_0000031,515606,CM JOSUÉ DE CASTRO,2,2024-12-12 17:53:53.073
2025,aluno_0000031,7040,CP CRECHE VALE DO SOL PRAÇA SECA,2,2024-12-12 17:53:53.137
2025,aluno_0000031,716608,CM IRMÃ DULCE,1,2024-12-12 17:53:53.137
2025,aluno_0000031,716809,EDI PROFESSOR ROBERTO LUIZ PEREIRA,3,2024-12-12 17:53:53.137
2025,aluno_0000032,724801,EDI MILENA SANTOS NASCIMENTO,1,2025-06-16 14:35:49.260
2025,aluno_0000033,3001,CP ASSOCIAÇÃO PRESBITERIANA CUIDANDO DO AMANHÃ - APCA,4,2024-12-11 08:32:50.300
2025,aluno_0000033,3006,CP CRECHE CASA VIVA,3,2024-12-11 08:32:50.300
2025,aluno_0000033,3014,CP CRECHE PLANTANDO O AMANHÃ,2,2024-12-11 08:32:50.300
2025,aluno_0000033,3025,CP CENTRO CULTURAL EDUCAR - UNIDADE II,1,2024-12-11 08:32:50.300
2025,aluno_0000033,313603,CM SYLVIA ORTHOF,5,2024-12-11 08:32:50.300
2025,aluno_0000034,8005,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - REALENGO,2,2024-12-16 16:21:43.590
2025,aluno_0000034,8007,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - BANGU,1,2024-12-16 16:21:43.590
2025,aluno_0000034,817603,CM DENTE DE LEITE,4,2024-12-16 16:21:43.590
2025,aluno_0000034,817617,CM JOSÉ MANOEL IBARRA PEREZ,3,2024-12-16 16:21:43.590
2025,aluno_0000034,833808,EDI PROFESSORA VANUZIA BASTOS DA SILVA,5,2024-12-16 16:21:43.590
2025,aluno_0000035,7038,CP CAAD UNIVERSO DAS FLORES,2,2024-12-11 09:34:36.207
2025,aluno_0000035,7040,CP CRECHE VALE DO SOL PRAÇA SECA,1,2024-12-11 09:34:36.207
2025,aluno_0000036,312813,EDI JORNALISTA JORGE BASTOS MORENO,1,2025-06-11 10:15:20.347
2025,aluno_0000037,8010,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL III,2,2024-12-16 16:41:07.210
2025,aluno_0000037,8021,CP ASSOCIAÇÃO RECREATIVA MUNDO MÁGICO DA TIA NATY,3,2024-12-16 16:41:07.210
2025,aluno_0000037,817609,CM RECANTO FELIZ,1,2024-12-16 16:41:07.210
2025,aluno_0000037,817804,EDI PROFESSORA EDITH MARQUES DE SOUZA,4,2024-12-16 16:41:07.210
2025,aluno_0000037,833806,EDI PROFESSOR CRISTIANO PINTO DE MORAES BISPO,5,2024-12-16 16:41:07.210
2025,aluno_0000038,313802,EDI ANÍSIO TEIXEIRA,1,2024-12-16 22:44:55.860
2025,aluno_0000039,4022,CP CRECHE VALE DO SOL NO GROTÃO,3,2024-12-18 09:29:34.977
2025,aluno_0000039,4024,CP CRECHE VALE DO SOL,1,2024-12-18 09:29:34.977
2025,aluno_0000039,4029,CP SOLZINHO,2,2024-12-18 09:29:34.977
2025,aluno_0000040,3025,CP CENTRO CULTURAL EDUCAR - UNIDADE II,3,2024-12-11 08:54:04.853
2025,aluno_0000040,3026,CP CHALÉ SEMENTINHA,4,2024-12-11 08:54:04.853
2025,aluno_0000040,328602,CM TIA ANDREZA,1,2024-12-11 08:54:04.853
2025,aluno_0000040,328801,EDI PADRE NELSON CARLOS DEL MÔNACO,2,2024-12-11 08:54:04.853
2025,aluno_0000041,817603,CM DENTE DE LEITE,3,2024-12-16 16:29:03.337
2025,aluno_0000041,817617,CM JOSÉ MANOEL IBARRA PEREZ,4,2024-12-16 16:29:03.337
2025,aluno_0000041,817801,EDI PROFESSORA TÂNIA MARIA LARRUBIA GOMES,1,2024-12-16 16:29:03.337
2025,aluno_0000041,817807,EDI MARIA DO CARMO SOUZA PIRAN,2,2024-12-16 16:29:03.337
2025,aluno_0000042,7020,CP JARDIM ESCOLA CRESCENDO E APRENDENDO,5,2024-12-13 08:41:15.423
2025,aluno_0000042,716808,EDI PROFESSORA MARIA BERENICE PARENTE,3,2024-12-13 08:41:15.423
2025,aluno_0000042,716818,EDI PROFESSORA CLÁUDIA PIRES CONTINO DA SILVA,2,2024-12-13 08:41:15.423
2025,aluno_0000042,716819,EDI PROFESSORA NORMA ANDRADE NOGUEIRA,4,2024-12-13 08:41:15.423
2025,aluno_0000042,716822,EDI MARCELO PARENTE GOMES DE OLIVEIRA,1,2024-12-13 08:41:15.423
2025,aluno_0000043,3037,CP CRECHE FRUTOS DO AMANHÃ I,1,2024-12-16 22:24:20.433
2025,aluno_0000044,3037,CP CRECHE FRUTOS DO AMANHÃ I,1,2024-12-16 22:33:44.807
2025,aluno_0000044,312812,EDI HERMENEGILDO DE BARROS,2,2024-12-16 22:33:44.807
2025,aluno_0000045,102604,CM ARCO-ÍRIS,2,2024-12-12 15:30:37.757
2025,aluno_0000045,102605,CM ALDEIA DOS CURUMINS,1,2024-12-12 15:30:37.757
2025,aluno_0000045,2039,CP CRECHE ESCOLA MENINOS DE LUZ,1,2024-12-12 15:30:37.670
2025,aluno_0000045,204602,CM ARACY GUIMARÃES ROSA,2,2024-12-12 15:30:37.670
2025,aluno_0000045,206606,CM ELZA MACHADO DOS SANTOS - TIA ELZA,3,2024-12-12 15:30:37.670
2025,aluno_0000046,4024,CP CRECHE VALE DO SOL,1,2025-05-09 08:07:30.220
2025,aluno_0000046,4029,CP SOLZINHO,2,2025-05-09 08:07:30.220
2025,aluno_0000047,7015,CP CRECHE CANTINHO FELIZ II,1,2024-12-13 11:25:01.953
2025,aluno_0000048,4032,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL V,1,2024-12-18 09:45:04.187
2025,aluno_0000048,4034,CP CASA DE JOEL II,2,2024-12-18 09:45:04.187
2025,aluno_0000048,5012,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL XI,1,2024-12-18 09:45:03.913
2025,aluno_0000049,2003,CP CENTRO COMUNITÁRIO DA RUA UM UNIÃO FAZ A FORÇA,5,2024-12-16 15:51:47.753
2025,aluno_0000049,2004,CP AÇÃO SOCIAL PADRE ANCHIETA - ASPA,4,2024-12-16 15:51:47.753
2025,aluno_0000049,206601,CM DOUTOR SOBRAL PINTO,2,2024-12-16 15:51:47.753
2025,aluno_0000049,206602,CM VIDIGAL,1,2024-12-16 15:51:47.753
2025,aluno_0000049,206605,CM DOUTOR PEDRO BLOCH,3,2024-12-16 15:51:47.753
2025,aluno_0000050,625602,CM PROFESSORA JUREMA GOMES SAMPAIO DELFIM,4,2024-12-13 07:37:59.920
2025,aluno_0000050,625606,CM LUÍS DE SOUZA DA COSTA BARROS,3,2024-12-13 07:37:59.920
2025,aluno_0000050,625607,CM LUIZA DE BARROS DE SÁ FREIRE,2,2024-12-13 07:37:59.920
2025,aluno_0000050,625614,CM SIMONE DE BEAUVOIR,1,2024-12-13 07:37:59.920
2025,aluno_0000050,625804,EDI PROFESSORA HELIA LÚCIA MORENO FERREIRA,5,2024-12-13 07:37:59.920
2025,aluno_0000051,2010,CP CRECHE PATINHO FELIZ,1,2024-12-11 08:42:39.000
2025,aluno_0000051,2011,CP SOCIEDADE CIVIL DE ASSISTÊNCIA A MENORES - CASA DA DINDA,4,2024-12-11 08:42:39.000
2025,aluno_0000051,209601,CM PIPA NO CÉU,3,2024-12-11 08:42:39.000
2025,aluno_0000051,209607,CM SOLANGE MARIA MAGALHÃES,2,2024-12-11 08:42:39.000
2025,aluno_0000052,209601,CM PIPA NO CÉU,1,2024-12-13 09:12:24.217
2025,aluno_0000052,5006,CP CRECHE CARDEAL CÂMARA,1,2024-12-13 09:12:24.250
2025,aluno_0000053,10069,CP CRECHE E ESCOLA COMUNITÁRIA GENTE BAIXINHA II,1,2024-12-11 10:13:37.627
2025,aluno_0000053,1019612,CM DANIELA PEREZ,2,2024-12-11 10:13:37.627
2025,aluno_0000053,918801,EDI BIANCA ROCHA TAVARES,1,2024-12-11 10:13:37.657
2025,aluno_0000055,7034,CP INSTITUTO EDUCACIONAL DIVA ALVES,3,2024-12-12 17:54:50.610
2025,aluno_0000055,716603,CM CRIANÇA DO FUTURO,5,2024-12-12 17:54:50.610
2025,aluno_0000055,716613,CM MARIA DA CONCEIÇÃO SILVEIRA DE CARVALHO,1,2024-12-12 17:54:50.610
2025,aluno_0000055,716614,CM AUGUSTO DE CARVALHO TORRES FILHO,4,2024-12-12 17:54:50.610
2025,aluno_0000055,716813,EDI PROFESSORA KENIA MENDES DOS SANTOS,2,2024-12-12 17:54:50.610
2025,aluno_0000056,2014,CP CRUZADA PELA INFÂNCIA DO LEME,4,2024-12-11 08:48:50.900
2025,aluno_0000056,2025,CP CRECHE BEZERRA DE MENEZES - BOTAFOGO,2,2024-12-11 08:48:50.900
2025,aluno_0000056,2049,CP OBRA DO BERÇO,3,2024-12-11 08:48:50.900
2025,aluno_0000056,2052,CP CRECHE CASA SANTA MARTA,1,2024-12-11 08:48:50.900
2025,aluno_0000056,206606,CM ELZA MACHADO DOS SANTOS - TIA ELZA,5,2024-12-11 08:48:50.900
2025,aluno_0000057,7041,CP CRECHE VALE DO SOL TAQUARA,1,2024-12-13 09:09:15.477
2025,aluno_0000058,10062,CP CENTRO CULTURAL DE DESENVOLVIMENTO INFANTIL JOÃO BATISTA,1,2025-03-21 15:01:30.140
2025,aluno_0000059,4038,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL VIII,1,2025-06-13 10:25:15.140
2025,aluno_0000060,8007,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - BANGU,2,2024-12-16 16:25:17.077
2025,aluno_0000060,817609,CM RECANTO FELIZ,1,2025-03-09 21:41:02.603
2025,aluno_0000060,817804,EDI PROFESSORA EDITH MARQUES DE SOUZA,1,2024-12-16 16:25:17.077
2025,aluno_0000061,5010,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL VII,1,2024-12-13 09:12:54.230
2025,aluno_0000061,514602,CM JECIÁ DE FREITAS FERREIRA,2,2024-12-13 09:12:54.230
2025,aluno_0000062,7014,CP CENTRO INTEGRADO SÃO JOSÉ,3,2024-12-12 17:06:21.290
2025,aluno_0000062,716606,CM AMIGUINHOS DA VILA SAPÊ,1,2024-12-12 17:06:21.290
2025,aluno_0000062,716806,EDI PROFESSORA EDILIA COELHO GARCIA,4,2024-12-12 17:06:21.290
2025,aluno_0000062,716812,EDI ESCRITORA CLARICE LISPECTOR,2,2024-12-12 17:06:21.290
2025,aluno_0000063,10079,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VIII,1,2025-08-18 11:26:16.077
2025,aluno_0000064,5006,CP CRECHE CARDEAL CÂMARA,1,2024-12-11 09:32:54.480
2025,aluno_0000064,515604,CM GERCINDA ROSA FONSECA,2,2024-12-11 09:32:54.480
2025,aluno_0000064,7037,CP CAAD UNIVERSO DA CRIANÇA,3,2024-12-11 09:32:54.613
2025,aluno_0000064,7038,CP CAAD UNIVERSO DAS FLORES,1,2024-12-11 09:32:54.613
2025,aluno_0000064,7040,CP CRECHE VALE DO SOL PRAÇA SECA,2,2024-12-11 09:32:54.613
2025,aluno_0000065,8005,CP CRECHE E ESCOLA COMUNITÁRIA GENTE INOCENTE - REALENGO,2,2024-12-16 16:21:46.800
2025,aluno_0000065,833802,EDI PROFESSORA ZENA ELIAN,1,2024-12-16 16:21:46.800
2025,aluno_0000066,2016,CP CASA MATERNAL MELLO MATTOS,4,2024-12-16 15:53:33.137
2025,aluno_0000066,2025,CP CRECHE BEZERRA DE MENEZES - BOTAFOGO,2,2024-12-16 15:53:33.137
2025,aluno_0000066,2029,CP CASA DA CRIANÇA,1,2024-12-16 15:53:33.137
2025,aluno_0000066,204602,CM ARACY GUIMARÃES ROSA,3,2024-12-16 15:53:33.137
2025,aluno_0000066,204806,EDI IRMA MARGARITA ALARCON,5,2024-12-16 15:53:33.137
2025,aluno_0000067,4022,CP CRECHE VALE DO SOL NO GROTÃO,1,2024-12-18 09:29:32.120
2025,aluno_0000068,312502,CIEP PROCÓPIO FERREIRA,1,2025-04-01 08:56:50.830
2025,aluno_0000069,10070,CP PEDACINHO DO CÉU,2,2024-12-17 11:10:53.367
2025,aluno_0000069,1019827,EDI MEDALHISTA OLÍMPICA POLIANA OKIMOTO,1,2024-12-17 11:10:53.367
2025,aluno_0000071,102604,CM ARCO-ÍRIS,4,2024-12-13 14:25:02.933
2025,aluno_0000071,102605,CM ALDEIA DOS CURUMINS,3,2024-12-13 14:25:02.933
2025,aluno_0000071,103807,EDI MARIA LUIZA NOBRE - TIA LUIZINHA,2,2024-12-13 14:25:02.933
2025,aluno_0000071,123603,CM FALLET,1,2024-12-13 14:25:02.933
2025,aluno_0000071,204602,CM ARACY GUIMARÃES ROSA,1,2024-12-13 14:25:03.020
2025,aluno_0000073,9012,CP CRECHE COMUNITÁRIA TIA NEIDE - CAMPO GRANDE,5,2024-12-16 23:23:13.917
2025,aluno_0000073,9032,CP SOLDADINHOS DE DEUS,3,2024-12-16 23:23:13.917
2025,aluno_0000073,918617,CM CRIANDO O FUTURO,2,2024-12-16 23:23:13.917
2025,aluno_0000073,918621,CM ELIZABETH TAVARES DE SOUZA - BETINHA,4,2024-12-16 23:23:13.917
2025,aluno_0000073,918803,EDI LUDMILA MÁXIMO MOREIRA CARDOSO,1,2024-12-16 23:23:13.917
2025,aluno_0000074,11006,CP CRECHE CASULO DO DENDÊ,3,2025-06-26 08:53:08.523
2025,aluno_0000074,11009,CP CRECHE COMUNITÁRIA IRMÃ MOROCHA (CCIM),1,2025-10-22 10:13:10.323
2025,aluno_0000074,1120802,EDI NEUSA MARIA GOULART BRIZOLA,2,2025-06-26 08:53:08.523
2025,aluno_0000074,1120804,EDI PROFESSORA ANNA MARIA JESUS CONCEICAO,1,2025-06-26 08:53:08.523
2025,aluno_0000075,515613,CM MANOEL DA ROCHA APRISCO,1,2024-12-13 09:05:48.190
2025,aluno_0000076,2046,CP ESPAÇO SANTA TEREZINHA - EST,2,2024-12-17 15:57:35.453
2025,aluno_0000076,2053,CP CRECHE ESPERANÇA,1,2024-12-17 15:57:35.453
2025,aluno_0000076,206601,CM DOUTOR SOBRAL PINTO,3,2024-12-17 15:57:35.453
2025,aluno_0000077,7013,CP ESPAÇO DE EDUCAÇÃO INFANTIL CIDADE DE DEUS,1,2024-12-12 17:06:50.183
2025,aluno_0000077,7014,CP CENTRO INTEGRADO SÃO JOSÉ,3,2024-12-12 17:06:50.183
2025,aluno_0000077,734802,EDI SENHORA PERCILIANA PEREIRA DE ALVARENGA,2,2024-12-12 17:06:50.183
2025,aluno_0000078,716607,CM EMÍLIA JOANA DA FONSECA MARQUES,1,2024-12-11 09:56:08.327
2025,aluno_0000081,3014,CP CRECHE PLANTANDO O AMANHÃ,2,2024-12-16 16:01:05.930
2025,aluno_0000081,3027,CP CENTRO CULTURAL EDUCAR - UNIDADE IV,3,2024-12-16 16:01:05.930
2025,aluno_0000081,3036,CP CENTRO CULTURAL EVOLUIR,1,2024-12-16 16:01:05.930
2025,aluno_0000081,918826,EDI PROFESSORA MARLY DOS SANTOS DE OLIVEIRA (MARLY MARINHO),1,2025-04-24 16:00:22.110
2025,aluno_0000083,716819,EDI PROFESSORA NORMA ANDRADE NOGUEIRA,1,2024-12-18 15:50:36.430
2025,aluno_0000084,9035,CP INSTITUTO CRESCER E APRENDER - FILIAL,1,2024-12-19 09:04:58.647
2025,aluno_0000085,3001,CP ASSOCIAÇÃO PRESBITERIANA CUIDANDO DO AMANHÃ - APCA,4,2024-12-16 15:58:22.130
2025,aluno_0000085,3006,CP CRECHE CASA VIVA,1,2024-12-16 15:58:22.130
2025,aluno_0000085,3013,CP CRECHE DO JACAREZINHO,5,2024-12-16 15:58:22.130
2025,aluno_0000085,3029,CP CRECHE BRINCANDO COM JUNINHO,2,2024-12-16 15:58:22.130
2025,aluno_0000085,313608,CM RACHEL LEITE DIAS,3,2024-12-16 15:58:22.130
2025,aluno_0000086,918829,EDI RUBEM AZEVEDO ALVES,1,2025-08-13 17:34:34.563
2025,aluno_0000087,1019631,CM TIA HILDA MACEDO,1,2024-12-13 09:46:10.830
2025,aluno_0000087,1019801,EDI SARGENTO IZO GOMES PATRÍCIO,2,2024-12-13 09:46:10.830
2025,aluno_0000088,9013,CP CRECHE COMUNITÁRIA SOL DO SABER,2,2024-12-16 23:22:06.580
2025,aluno_0000088,9017,CP ESPAÇO CRESCER,5,2024-12-16 23:22:06.580
2025,aluno_0000088,918613,CM PROFESSORA FLORA SANTINA FERRARI BRAZ,1,2024-12-16 23:22:06.580
2025,aluno_0000088,918836,EDI MEDALHISTA OLÍMPICO RAFAEL CARLOS DA SILVA,3,2024-12-16 23:22:06.580
2025,aluno_0000088,918837,EDI MEDALHISTA OLÍMPICO WALLACE LEANDRO DE SOUZA,4,2024-12-16 23:22:06.580
2025,aluno_0000089,11001,CP CRECHE COMUNITÁRIA ALEGRIA DA CRIANÇA,1,2025-09-05 13:44:25.270
2025,aluno_0000089,1120603,CM DOUTOR ANTÔNIO MONTEIRO,2,2025-09-05 13:44:25.270
2025,aluno_0000090,9022,CP ESPAÇO CRIATIVO CASTELINHO RINALDI,1,2024-12-19 08:55:06.027
2025,aluno_0000091,4050,CP CENTRO EDUCACIONAL CARIOQUINHA,1,2025-02-03 11:06:21.667
2025,aluno_0000092,9010,CP CRECHE JARDIM ESCOLA RIO DA PRATA,1,2025-08-28 13:00:28.070
2025,aluno_0000093,10035,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA CHAVE DO TAMANHO,2,2024-12-13 13:54:50.570
2025,aluno_0000093,10046,CP CRECHE COMUNITÁRIA DEUS É FIEL - CCDF,5,2024-12-13 13:54:50.570
2025,aluno_0000093,10055,CP ESPAÇO DE DESENVOLVIMENTO MÃE GAIA,3,2024-12-13 13:54:50.570
2025,aluno_0000093,10058,CP CRECHE ESCOLA COMUNITÁRIA MALLETZINHO,4,2024-12-13 13:54:50.570
2025,aluno_0000093,1019826,EDI THAMIRIS DE ANDRADE DA SILVA SANTOS,1,2024-12-13 13:54:50.570
2025,aluno_0000094,10044,CP CRECHE COMUNITÁRIA MAGIA DA CRIANÇA,1,2025-03-20 11:49:06.473
2025,aluno_0000096,3014,CP CRECHE PLANTANDO O AMANHÃ,2,2024-12-11 08:46:45.347
2025,aluno_0000096,3025,CP CENTRO CULTURAL EDUCAR - UNIDADE II,1,2024-12-11 08:46:45.347
2025,aluno_0000097,312809,EDI PROFESSORA VALÉRIA PEREIRA DE SOUZA PINTO,1,2025-08-18 15:06:55.450
2025,aluno_0000098,817607,CM MULHERES DO QUAFÁ,1,2024-12-19 11:52:32.390
2025,aluno_0000099,10001,CP ESCOLA COMUNITÁRIA JARDIM DE INFÂNCIA TIA ANASTÁCIA,1,2024-12-16 15:34:47.697
2025,aluno_0000099,10036,CP CAAD DONA ZULMIRA TELLES,2,2024-12-16 15:34:47.697
2025,aluno_0000100,10063,CP CRECHE COMUNITÁRIA UNIVERSO INFANTIL,4,2024-12-16 22:51:03.057
2025,aluno_0000100,10080,CP ASSOCIAÇÃO CENTRO EDUCACIONAL REBRAL XII (GUARATIBA),1,2025-02-03 11:42:14.073
2025,aluno_0000100,1026802,EDI PROFESSOR MARCOS FLAMÍNIO PORTUGAL PINTO,1,2024-12-16 22:51:03.057
2025,aluno_0000100,1026806,EDI MEDALHISTA OLÍMPICO FELIPE ALMEIDA WU,3,2024-12-16 22:51:03.057
2025,aluno_0000100,1026810,EDI ALCEBÍADES FRANCISCO ROSA,2,2024-12-16 22:51:03.057
2025,aluno_0000102,10030,CP INSTITUTO AVELINO - GUARATIBA,4,2024-12-13 09:08:17.347
2025,aluno_0000102,10051,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VI,3,2024-12-13 09:08:17.347
2025,aluno_0000102,10063,CP CRECHE COMUNITÁRIA UNIVERSO INFANTIL,2,2024-12-13 09:08:17.347
2025,aluno_0000102,10068,CP CRECHE COMUNITÁRIA TIA NEIDE - GUARATIBA,5,2024-12-13 09:08:17.347
2025,aluno_0000102,10072,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE X,1,2024-12-13 09:08:17.347
2025,aluno_0000103,817617,CM JOSÉ MANOEL IBARRA PEREZ,1,2024-12-17 15:40:38.903
2025,aluno_0000104,7020,CP JARDIM ESCOLA CRESCENDO E APRENDENDO,5,2024-12-13 11:28:01.613
2025,aluno_0000104,716808,EDI PROFESSORA MARIA BERENICE PARENTE,3,2024-12-13 11:28:01.613
2025,aluno_0000104,716818,EDI PROFESSORA CLÁUDIA PIRES CONTINO DA SILVA,2,2024-12-13 11:28:01.613
2025,aluno_0000104,716819,EDI PROFESSORA NORMA ANDRADE NOGUEIRA,4,2024-12-13 11:28:01.613
2025,aluno_0000104,716822,EDI MARCELO PARENTE GOMES DE OLIVEIRA,1,2024-12-13 11:28:01.613
2025,aluno_0000105,102601,CM SEMPRE VIDA SANTO ANTÔNIO DE PÁDUA,1,2024-12-11 08:53:43.257
2025,aluno_0000105,103805,EDI BEATRIZ VICÊNCIA BANDEIRA RYFF,2,2024-12-11 08:53:43.257
2025,aluno_0000106,10052,CP CRECHE COMUNITÁRIA DEUS É FIEL - UNIDADE VII,1,2024-12-13 09:07:50.380
2025,aluno_0000106,10073,CP NINHO CARIOCA,2,2024-12-13 09:07:50.380
2025,aluno_0000106,10084,CP CRECHE COMUNITÁRIA AQUARELA DO SABER (GUARATIBA),5,2024-12-13 09:07:50.380
